"","Model","Designated_Model"
"1","CADPH-FluCAT_Ensemble","TRUE"
"2","CEPH-Rtrend_fluH","TRUE"
"3","cfa-flumech","TRUE"
"4","cfarenewal-cfaepimlight","TRUE"
"5","CMU-TimeSeries","TRUE"
"6","CU-ensemble","TRUE"
"7","fjordhest-ensemble","TRUE"
"8","GT-FluFNP","TRUE"
"9","ISU_NiemiLab-NLH","TRUE"
"10","LosAlamos_NAU-CModel_Flu","TRUE"
"11","LUcompUncertLab-chimera","TRUE"
"12","MIGHTE-Nsemble","TRUE"
"13","MOBS-GLEAM_FLUH","TRUE"
"14","NIH-Flu_ARIMA","TRUE"
"15","PSI-PROF","TRUE"
"16","SGroup-RandomForest","TRUE"
"17","SigSci-CREG","TRUE"
"18","SigSci-TSENS","TRUE"
"19","Stevens-GBR","TRUE"
"20","UGA_flucast-INFLAenza","TRUE"
"21","UGA_flucast-OKeeffe","TRUE"
"22","UGuelph-CompositeCurve","TRUE"
"23","UGuelphensemble-GRYPHON","TRUE"
"24","UM-DeepOutbreak","TRUE"
"25","UMass-flusion","TRUE"
"26","UMass-trends_ensemble","TRUE"
"27","UVAFluX-Ensemble","TRUE"
"28","VTSanghani-Ensemble","TRUE"
